clinic_name,negative_post_count,total_negative_views,avg_negative_views,monthly_distribution,monthly_views
연세바로치과교정과치과의원,1,257,257.0,{'2024-09': 1},{'2024-09': 257}
한숲치과의원,1,678,678.0,{'2024-07': 1},{'2024-07': 678}
동탄에이스치과의원,1,2924,2924.0,{'2024-07': 1},{'2024-07': 2924}
동탄CL치과의원,1,212,212.0,{'2024-07': 1},{'2024-07': 212}
메디피움치과의원,1,1387,1387.0,{'2024-12': 1},{'2024-12': 1387}
서울라미플란트치과교정과치과의원,1,248,248.0,{'2025-03': 1},{'2025-03': 248}
동탄하나로치과의원,1,655,655.0,{'2025-07': 1},{'2025-07': 655}
동탄꿈의치과의원,1,636,636.0,{'2024-11': 1},{'2024-11': 636}
아름다운턱치과의원,1,1143,1143.0,{'2024-11': 1},{'2024-11': 1143}
동탄키즈사랑소아치과의원,1,589,589.0,{'2024-10': 1},{'2024-10': 589}
새로미치과의원,1,590,590.0,{'2025-05': 1},{'2025-05': 590}
더바른치과의원,1,0,0.0,{'2025-05': 1},{'2025-05': 0}
이루다치과의원,1,346,346.0,{'2025-01': 1},{'2025-01': 346}
미프라임치과의원,1,508,508.0,{'2025-01': 1},{'2025-01': 508}
