clinic_name,article_id,title,date,views,club_id,cafe_name
연세바로치과교정과치과의원,2470322,동탄 교정치과 상담 다니고 있는데,2024.09.30,257,11833155,철도청[치아턱교정치과보험양악수술임플란트미백돌출입안티성형]
한숲치과의원,201774,한숲 내에 치과 추천해주세요~,2024.07.11,678,28309579,e편한세상 용인 한숲시티 입주민 대표 카페
동탄에이스치과의원,2262752,2동탄 치과 어디 다니세요?,2024.07.14,2924,24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣
동탄CL치과의원,6200296,동2 동탄CL치과 주차 어떤가요,2024.07.25,212,12905973,◆동탄맘들 모여라
메디피움치과의원,758758,건강검진,2024.12.26,1387,24095040,동탄2신도시 분양 정보 & 경기 남부&진안 부동산 투자 정보
서울라미플란트치과교정과치과의원,2374525,치과 일반진료 어디가 잘하나요?,2025.03.19,248,24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣
동탄하나로치과의원,2423758,영천동 하나로마트 치과,2025.07.30,655,24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣
동탄꿈의치과의원,2318862,동탄 목동근처 치과 잘하는곳있나요?,2024.11.20,636,24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣
아름다운턱치과의원,6248045,[아파요]동탄1에 잘하는 치과 있을까요?,2024.11.23,1143,12905973,◆동탄맘들 모여라
동탄키즈사랑소아치과의원,6233102,능동 소아치과 추천해주세요,2024.10.15,589,12905973,◆동탄맘들 모여라
새로미치과의원,1726412,교정치과 유지장치재부착,2025.05.02,590,24621251,<오행공> 오산맘들의 행복한 공간
더바른치과의원,6310260,교정치과 추천 부탁드려요ㅜ,2025.05.21,0,12905973,◆동탄맘들 모여라
이루다치과의원,2345087,영유아 구강검진 치과추천,2025.01.13,346,24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣
미프라임치과의원,6272643,스켈링 잘하는 치과 추천,2025.01.23,508,12905973,◆동탄맘들 모여라
