,Low,Mid,High
posting_score_numeric,3.6724137931034484,4.79047619047619,4.945454545454545
exposure_score,29.086724137931036,36.01971428571429,37.065090909090905
score_가독성,76.36793103448277,75.78428571428572,75.61854545454547
score_주제,66.55,67.06352380952382,67.56927272727273
score_콘텐츠,62.964137931034486,61.576476190476185,61.57363636363637
score_키워드,81.65327586206897,80.59571428571428,79.44363636363636
score_형태소,56.8501724137931,59.67219047619047,60.235454545454544
score_후기/정보,66.87931034482759,61.25714285714286,62.14545454545455
content_with_space,1738.1206896551723,1639.9238095238095,1649.581818181818
word_count,125.91379310344827,114.1047619047619,114.89090909090909
valid_images,2.189655172413793,2.2666666666666666,2.2363636363636363
invalid_images,3.5,3.7714285714285714,3.8545454545454545
non_brand_inflow,10.568965517241379,44.76190476190476,175.61818181818182
