postId,representative_query,total_inflow,category
223127778693,동탄역 치과,5,기타
223129980681,임플란트 픽스쳐 파절,27,임플란트
223132361960,동탄 보존과 전문의,14,기타
223133332263,다이아스테마,28,심미치료
223135306927,다발성 충치,8,충치치료
223139566281,임플란트 미세현미경,6,임플란트
223142147666,동탄 스플린트,1,기타
223147720485,동탄역 치과,4,기타
223149973455,발치후 즉시 식립 임플란트,14,임플란트
223155543711,동탄 앞니 레진,5,충치치료
223156065790,수직치근파절,20,신경치료
223159021007,큐레이,17,기타
223167068424,동탄 보존과,25,기타
223167739697,앞니 캔틸레버 임플란트,3,임플란트
223170259404,앞니가 깨졌는데,4,기타
223170676817,치아 신경치료 재발,6,신경치료
223179567720,40대 앞니브릿지,2,보철치료
223181472820,[치과 20회] 치수염 원인과 치료,7,신경치료
223184556078,임플란트 2개월,5,임플란트
223185551859,아이 앞니 까맣게,4,기타
223186535780,소구치 신경치료,17,신경치료
223188852298,동탄 상악동거상술,2,신경치료
223195081339,뿌리 끝 염증,5,기타
223195081723,우식 어금니 발치,4,충치치료
223199107505,어금니 금이 간 경우,44,기타
223205080746,이가 까맣게,68,기타
223209608215,동탄잇몸고름,2,보철치료
223214107371,동탄 고난도 임플란트,2,임플란트
223215122462,치과 얼굴붓기,6,기타
223220535699,root crack,12,신경치료
223221503683,치근 파절 증상,3,신경치료
223223930971,금니 밑 검은,4,기타
223232140530,동탄 미세현미경 치과,17,심미치료
223235174542,동탄 실활치미백,8,심미치료
223236128970,소구치 충치,11,충치치료
223236771862,다이아스테마,6,심미치료
223239313976,치아 흔들림,14,기타
223243681120,동탄 왜소치,3,심미치료
223245500936,치과 mb2,16,신경치료
223247611266,6개원람에충치가생길수있나요,1,충치치료
223249211681,치아뿌리자르는,2,기타
223258396983,어금니 간질,3,보철치료
223260606003,동탄 실활치미백,19,심미치료
223262947643,동탄 인접면 충치,6,충치치료
223264573936,치수제거,4,신경치료
223269220996,대학병원 재신경치료,25,신경치료
223269940028,신경치료,14,신경치료
223273627729,임플란트 후 흔들림,20,임플란트
223277112963,송곳니 충치,379,충치치료
223278935005,아말감 2차충치,29,충치치료
223285021905,벌어진 앞니 라미네이트치료단점,5,충치치료
223287134538,동탄 아말감 교체,3,충치치료
223291925999,동탄 신경치료,5,신경치료
223296314242,임플란트 4개월,6,임플란트
223298901342,재신경치료 기간,131,신경치료
223299941436,소구치 파절,12,기타
223302785170,mb2,12,신경치료
223305026270,implant pontic,4,임플란트
223307057929,치과 치질,40,기타
223314621811,pulpotomy,174,신경치료
223316483238,동탄 앞니 임플란트,4,임플란트
223319741081,동탄 치근단절제술,5,신경치료
223326895234,상악동 염증,6,신경치료
223329529682,동탄 북광장 치과,3,기타
223330672507,크라운 잇몸 색,6,충치치료
223332854160,수직치근파절,30,신경치료
223335804761,동탄 레진,8,충치치료
223336576172,동탄 브릿지 치과,4,보철치료
223338916153,뼈이식하면서 임플란트식립하는건지?,1,임플란트
223340074448,어금니 신경치료 기간,83,신경치료
223347599407,동탄 앞니 틈새,1,심미치료
223350038257,잇몸 뼈가루,2,보철치료
223351549700,동탄 실활치미백,32,심미치료
223356020737,인레이 밑 충치,12,충치치료
223357699582,intrusion,76,임플란트
223360812566,동탄 앞니 교정,7,심미치료
223363365773,수평치근파절,22,신경치료
223364978339,상악 전치부 뼈이식,2,임플란트
223367277748,치아 옆면 충치,45,충치치료
223367609103,어린이 실란트,40,충치치료
223372527171,전치부 임플란트,5,임플란트
223374858437,신경치료 성공,4,신경치료
223381312568,동탄 앞니 벌어짐 레진,2,충치치료
223384532317,앞니 뼈이식,16,임플란트
223386498335,발치후임시치아,7,보철치료
223388504430,앞니 썩은,6,기타
223390910030,동탄 이맥스 인레이,3,충치치료
223394713508,치과 브릿지 과정,8,보철치료
223398163987,동탄 앞니 임플란트,3,임플란트
223401398737,치수괴사,27,신경치료
223405640599,동탄 심미보철,6,심미치료
223408605557,교정후 치아탈회생길수있는 확률,1,심미치료
223410586957,전치부 브릿지,15,보철치료
223415500360,치과 포스트,17,보철치료
223416621409,동탄역 치과,2,기타
223423945234,앞니 외상,7,심미치료
223426266336,동탄역 사랑니,6,보철치료
223431220382,교정 후 미백,17,심미치료
223432011619,동탄 지르코니아,11,충치치료
223442936737,골드인레이 탈락,5,충치치료
223445765237,오산 벌어진앞니레진잘하는치과,2,충치치료
223447775141,동탄 임플란트 보철 전문치과,3,임플란트
223451837108,동탄 앞니 레진,7,충치치료
223453337978,치주염 사진,2,보철치료
223457546240,인레이 파절,12,충치치료
223459255522,금간 이 치료,13,기타
223461648342,동탄 앞니 지르코니아,2,충치치료
223462135488,어른 유치,75,보철치료
223464390508,동탄 크라운 염증 살리기,1,충치치료
223469003670,동탄 보존과,40,기타
223472120224,동탄2 신경치료 잘하는 치과,4,신경치료
223474913313,오산 치과 미세현미경,3,심미치료
223486986872,iarpd,4,기타
223489831119,오산 재신경치료,4,신경치료
223493106667,치아 24번,3,기타
223505228904,우식발생,3,충치치료
223507701785,깨진 이,71,기타
223515640939,오산 아말감,1,충치치료
223529572559,동탄역 임플란트,2,임플란트
223538287634,화성 재신경치료,6,신경치료
223539343578,금니 씌운곳 충치 신경치료,1,신경치료
223553485165,상악동 거상술,19,기타
223556089501,틀니 의료보험,18,보철치료
223561578738,동탄 러버댐,2,충치치료
223564055125,동탄 인레이,1,충치치료
223566420908,앞니 깨짐 레진,3,충치치료
223567150315,레진 수복 과정,6,충치치료
223569663447,양쪽 어금니흔들림,2,기타
223572003924,동탄 치근단절제술,17,신경치료
223574319522,동탄 네이튼치과,2,기타
223577753077,이가 깨졌어요,420,기타
223580589189,아래 어금니 발치,8,보철치료
223582734928,치조골 흡수,2,보철치료
223589964130,동탄 러버댐,6,충치치료
223593477720,앞니가 벌어져요,3,기타
223595953482,충치 인레이,4,충치치료
223598756784,교정 앞니 흔들림,7,심미치료
223610202977,오산틀니치과,2,보철치료
223619831819,치아 브릿지 교체,54,보철치료
223620072636,동탄 라미네이트,5,충치치료
223623932986,치과 엔도,14,신경치료
223627571544,치아 옆면 충치,59,충치치료
223629030784,앞니 깨짐,10,심미치료
223630259710,신경치료 후 잇몸 변색,61,신경치료
223633437760,잇몸퇴축 임플란트,3,임플란트
223636574839,골드인레이 파절,17,충치치료
223639488509,인레이 과정,4,충치치료
223642862146,인레이 속 충치,23,충치치료
223646411050,흔들리는 치아 신경치료,19,신경치료
223652586578,임플란트 재식립,4,임플란트
223655729530,치수괴사,53,신경치료
223660476078,아랫니 브릿지,46,보철치료
223665255366,치과 상악동거상술 수술과정,2,신경치료
223667579753,앞니 신경치료 후 통증,9,신경치료
223669908658,충치 육안,5,충치치료
223672012238,크라운 치료 후 염증,2,충치치료
223680022380,앞니 파절 신경치료,4,신경치료
223682403570,어금니 레진 깨짐,72,충치치료
223684387892,신경치료 후 염증,10,신경치료
223687414025,앞니 신경치료 과정,2,신경치료
223688912947,화성 재신경치료,3,신경치료
223692083052,크라운 잇몸 내려앉음,15,충치치료
223695000182,심한 잇몸퇴축,6,보철치료
223700009046,어금니 사이 충치,74,충치치료
223704336524,어금니 충치 레진,16,충치치료
223707076590,앞니 잇몸 통증,52,심미치료
223713604505,오버덴쳐,32,임플란트
223717371151,치수복조술,31,신경치료
223724665134,앞니 신경치료 후 변색,13,신경치료
223726806244,어금니 잇몸 퇴축,5,보철치료
223732797065,내려간 잇몸,45,보철치료
223733898487,앞니 벌어짐,277,심미치료
223735795643,동탄 치주염,2,보철치료
223736985385,앞니 신경치료,3,신경치료
223747165682,치과 엔도,10,신경치료
223749543549,어금니 잇몸 내려앉음,10,보철치료
223755253807,어금니 염증 발치,2,보철치료
223757805212,치근단절제술 통증,33,신경치료
223760730069,신경치료 후 염증,92,신경치료
223764799450,앞니 끝 깨짐,19,심미치료
223767379681,치외치,18,심미치료
223772043532,동탄2 임플란트 뼈이식 추천,3,임플란트
223773517706,세라믹 레진,5,충치치료
223776270808,앞니 재신경치료,8,신경치료
223783492274,미백 후 칼시펙스,2,심미치료
223786013522,치아 깨졌을때,8,기타
223790580014,동탄 앞니부러짐,1,기타
223793510515,치근단형성술,45,신경치료
223795754394,고름,3,기타
223800709422,인접면 인레이,5,충치치료
223802571164,임플란트 부러짐 재수술,2,임플란트
223805053360,앞니 부러짐,3,심미치료
223807794823,오래된 보철 발치,2,보철치료
223809471767,병소가 보인다,1,기타
223810366687,앞니 크라운 모양,12,충치치료
223816356433,치아 파절의 원인은 무엇인가요,8,기타
223819383233,임플란트 뼈이식 통증,1,임플란트
223821931245,치아 뿌리 고름,9,기타
223827530915,레진,6,충치치료
223829595540,잇몸에 물집,18,보철치료
223832442086,lateral sinus,1,기타
223836024559,인레이 깨짐 비용,6,충치치료
223838896283,동탄 러버댐 치과,3,충치치료
223841268715,임플란트 마주보는치아,4,임플란트
223843922177,동탄 치과 레진,2,충치치료
223855422665,수직치근파절,6,신경치료
223857788386,깨진 인레이,2,충치치료
223864036929,치과 mb,3,신경치료
223869870358,급성치수염,43,신경치료
223872218238,만성치주염 치아파절\,1,보철치료
223875842051,치수복조,8,신경치료
223880001893,인레이 2차 우식,2,충치치료
223880864293,리엔도,7,신경치료
223883087276,초진 신경치료,2,신경치료
223883326729,앞니 사이 충치,3,충치치료
223894869681,apicoectomy 발음,2,신경치료
223903759866,아말감,1,충치치료
223911334860,세라믹 인레이,2,충치치료
