date,channel,pv
2024-09,네이버 블로그,37
2024-09,네이버 플레이스광고,107
2024-09,네이버검색,514
2024-09,네이버공통,1
2024-09,네이버지도,1008
2024-09,웹사이트,21
2024-10,네이버 블로그,41
2024-10,네이버 플레이스광고,110
2024-10,네이버검색,512
2024-10,네이버공통,1
2024-10,네이버지도,884
2024-10,웹사이트,27
2024-11,네이버 블로그,22
2024-11,네이버 플레이스광고,112
2024-11,네이버검색,480
2024-11,네이버공통,1
2024-11,네이버지도,912
2024-11,웹사이트,13
2024-12,네이버 블로그,33
2024-12,네이버 플레이스광고,132
2024-12,네이버검색,471
2024-12,네이버지도,968
2024-12,웹사이트,26
2025-01,네이버 블로그,27
2025-01,네이버 플레이스광고,139
2025-01,네이버검색,496
2025-01,네이버지도,1363
2025-01,웹사이트,11
2025-02,구글검색,1
2025-02,네이버 모바일메인,1
2025-02,네이버 블로그,31
2025-02,네이버 플레이스광고,151
2025-02,네이버검색,688
2025-02,네이버공통,1
2025-02,네이버지도,1411
2025-02,웹사이트,65
2025-03,구글검색,1
2025-03,네이버 모바일메인,1
2025-03,네이버 블로그,32
2025-03,네이버 플레이스광고,185
2025-03,네이버검색,772
2025-03,네이버지도,1301
2025-03,웹사이트,23
2025-04,네이버 모바일메인,1
2025-04,네이버 블로그,18
2025-04,네이버 플레이스광고,231
2025-04,네이버검색,749
2025-04,네이버공통,2
2025-04,네이버지도,1168
2025-04,웹사이트,17
2025-04,인스타그램,1
2025-05,네이버 모바일메인,4
2025-05,네이버 블로그,15
2025-05,네이버 플레이스광고,220
2025-05,네이버검색,719
2025-05,네이버지도,1166
2025-05,웹사이트,31
2025-06,네이버 모바일메인,2
2025-06,네이버 블로그,16
2025-06,네이버 플레이스광고,201
2025-06,네이버검색,668
2025-06,네이버공통,1
2025-06,네이버지도,1218
2025-06,웹사이트,44
2025-07,네이버 모바일메인,3
2025-07,네이버 블로그,27
2025-07,네이버 플레이스광고,247
2025-07,네이버검색,687
2025-07,네이버지도,1341
2025-07,웹사이트,125
