date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2025-07-01,2025,7,1,Tuesday,channel,bmp,지도,2,4,1
2025-07-01,2025,7,1,Tuesday,channel,pll,플레이스목록,2,4,1
2025-07-02,2025,7,2,Wednesday,channel,ple,플레이스상세,1,2,2
2025-07-02,2025,7,2,Wednesday,channel,pll,플레이스목록,1,2,2
2025-07-03,2025,7,3,Thursday,channel,bmp,지도,1,1,1
2025-07-04,2025,7,4,Friday,channel,pll,플레이스목록,2,5,2
2025-07-04,2025,7,4,Friday,channel,bee,기타,1,5,2
2025-07-04,2025,7,4,Friday,channel,bmp,지도,1,5,2
2025-07-04,2025,7,4,Friday,channel,psa,플레이스광고,1,5,2
2025-07-05,2025,7,5,Saturday,summary,,,0,0,0
2025-07-06,2025,7,6,Sunday,channel,bmp,지도,1,2,1
2025-07-06,2025,7,6,Sunday,channel,pll,플레이스목록,1,2,1
2025-07-07,2025,7,7,Monday,channel,ple,플레이스상세,1,2,3
2025-07-07,2025,7,7,Monday,channel,pll,플레이스목록,1,2,3
2025-07-08,2025,7,8,Tuesday,summary,,,0,0,0
2025-07-09,2025,7,9,Wednesday,channel,pll,플레이스목록,1,1,1
2025-07-10,2025,7,10,Thursday,channel,bee,기타,1,2,3
2025-07-10,2025,7,10,Thursday,channel,pll,플레이스목록,1,2,3
2025-07-11,2025,7,11,Friday,channel,pll,플레이스목록,1,1,1
2025-07-12,2025,7,12,Saturday,channel,pll,플레이스목록,1,1,0
2025-07-13,2025,7,13,Sunday,channel,bee,기타,1,3,2
2025-07-13,2025,7,13,Sunday,channel,pll,플레이스목록,1,3,2
2025-07-13,2025,7,13,Sunday,channel,psa,플레이스광고,1,3,2
2025-07-14,2025,7,14,Monday,channel,pll,플레이스목록,2,3,2
2025-07-14,2025,7,14,Monday,channel,bmp,지도,1,3,2
2025-07-15,2025,7,15,Tuesday,channel,bee,기타,1,2,2
2025-07-15,2025,7,15,Tuesday,channel,bmp,지도,1,2,2
2025-07-16,2025,7,16,Wednesday,channel,pll,플레이스목록,2,2,0
2025-07-17,2025,7,17,Thursday,channel,bmp,지도,1,2,2
2025-07-17,2025,7,17,Thursday,channel,bnb,블로그,1,2,2
2025-07-18,2025,7,18,Friday,channel,bee,기타,1,4,4
2025-07-18,2025,7,18,Friday,channel,bmp,지도,1,4,4
2025-07-18,2025,7,18,Friday,channel,pll,플레이스목록,1,4,4
2025-07-18,2025,7,18,Friday,channel,psa,플레이스광고,1,4,4
2025-07-19,2025,7,19,Saturday,summary,,,0,0,0
2025-07-20,2025,7,20,Sunday,channel,pll,플레이스목록,1,1,1
2025-07-21,2025,7,21,Monday,channel,pll,플레이스목록,2,4,5
2025-07-21,2025,7,21,Monday,channel,bee,기타,1,4,5
2025-07-21,2025,7,21,Monday,channel,bmp,지도,1,4,5
2025-07-22,2025,7,22,Tuesday,channel,bee,기타,1,3,2
2025-07-22,2025,7,22,Tuesday,channel,bnb,블로그,1,3,2
2025-07-22,2025,7,22,Tuesday,channel,pll,플레이스목록,1,3,2
2025-07-23,2025,7,23,Wednesday,channel,bee,기타,1,3,3
2025-07-23,2025,7,23,Wednesday,channel,bmp,지도,1,3,3
2025-07-23,2025,7,23,Wednesday,channel,pll,플레이스목록,1,3,3
2025-07-24,2025,7,24,Thursday,channel,pll,플레이스목록,2,3,2
2025-07-24,2025,7,24,Thursday,channel,bmp,지도,1,3,2
2025-07-25,2025,7,25,Friday,channel,bee,기타,1,3,1
2025-07-25,2025,7,25,Friday,channel,bmp,지도,1,3,1
2025-07-25,2025,7,25,Friday,channel,pll,플레이스목록,1,3,1
2025-07-26,2025,7,26,Saturday,summary,,,0,0,0
2025-07-27,2025,7,27,Sunday,summary,,,0,0,0
2025-07-28,2025,7,28,Monday,channel,bmp,지도,1,4,5
2025-07-28,2025,7,28,Monday,channel,ple,플레이스상세,1,4,5
2025-07-28,2025,7,28,Monday,channel,pll,플레이스목록,1,4,5
2025-07-28,2025,7,28,Monday,channel,psa,플레이스광고,1,4,5
2025-07-29,2025,7,29,Tuesday,channel,bee,기타,1,3,4
2025-07-29,2025,7,29,Tuesday,channel,pll,플레이스목록,1,3,4
2025-07-29,2025,7,29,Tuesday,channel,psa,플레이스광고,1,3,4
2025-07-30,2025,7,30,Wednesday,channel,bmp,지도,1,2,1
2025-07-30,2025,7,30,Wednesday,channel,pll,플레이스목록,1,2,1
2025-07-31,2025,7,31,Thursday,channel,pll,플레이스목록,2,2,2
